lga,no_venues,no_machines,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
WHITTLESEA,12,781,8959973.5,8480556.06,9389496.02,9316140.53,9516477,9450542.41,10165477.91,10191283.56,9764077.28,10056076.55,9751806.76,10503236.72
NORTHERN GRAMPIANS,4,168,750753.31,679820.11,755790.36,715293.17,674599.39,768399.13,837893.76,788148.93,814195.06,800162.98,797699.65,855158.1
GREATER GEELONG,27,"1,300",9835728.83,8715713.29,9417176.13,9278985.27,9324394.85,9163108.46,9967074.72,10032239.64,9791184.98,9956588.47,9650417.99,10321096.73
COLAC OTWAY,7,167,869732.24,801576.91,909948.01,795573.65,784267.84,796491.46,849533.33,922664.49,823370.58,877987.79,882366.51,910759.48
MOORABOOL,5,160,912494.33,869969.17,1007430.45,867396.68,978891.69,1011930.52,1065860.97,1121567.62,925429.32,1043744.81,962483.19,1020651.6
CENTRAL GOLDFIELDS,3,129,802195.3,696226.97,818885.83,807455.15,780422.88,853762.5,928594.05,957635.93,920714.29,923852.22,840459.63,983865.76
MITCHELL,7,293,1675788.5,1499512.17,1639783,1689257.95,1669468.92,1658000.19,1840458.62,1909446.49,1839602.51,1859894.3,1739601,1811156.34
ALPINE,3,68,240309.5,203075.04,220062.4,225227.27,221516.87,175336.87,202159.44,206988.47,171194.77,225782.12,228937.9,197594.73
BENALLA,6,240,854500.76,766219.85,832852.63,841540.78,792295.21,783723.78,834710.56,914862.26,867999.97,937571.59,866695.52,970747.99
CAMPASPE,5,254,826025.32,789771.27,873849.42,894676.77,788286.21,809697.45,902970.27,914868.84,926463.72,766666.47,804592.81,904415.06
GLENELG,6,195,1116262.91,1030804.82,1042590.18,982391.47,1019660.61,900407.74,1125489.97,1126492.28,1042817.5,1084102.48,1077143.64,1163175.75
WELLINGTON,7,318,1749947.09,1646959.63,1763146.63,1798325.05,1662186.39,1774705.32,1850665.94,1837901.91,1710393.04,1713465.26,1800883.88,1907057.76
WODONGA,3,135,511199.43,477418.47,617520.53,583345.84,641152.24,622675.91,739924.99,713258.03,619070.26,668548.83,693935.23,669978.13
WARRNAMBOOL,8,234,1631984.12,1423635.89,1586764.92,1471756.73,1556029.21,1437636.48,1529966.05,1640318.57,1560787.9,1583363.17,1489216.42,1717615.16
GREATER BENDIGO,11,602,3661714.76,3459202.74,4097765.82,3905309.31,3827050.9,3733599.16,4302990.02,4533112.4,4232438.44,4152621.44,4180591.27,4199984.73
BALLARAT,15,657,4347427.35,4137707.98,4362076.53,4450105.07,4259393.81,4450441.36,4970061.7,4871337.77,4706684.19,4919726.53,4623949.19,4714325.41
SWAN HILL,4,160,555649.08,526455.74,594128.37,733892.14,780198.68,696379.07,777965.53,669821.84,488762.47,592543.03,631115.6,613770.98
GREATER SHEPPARTON,8,329,2439402.95,2261466.19,2610086.53,2621191.68,2654675.85,2705481.74,2842360.82,2786714.78,2580314.23,2642721,2662153.7,2883031.81
MILDURA,8,281,1970917.12,1787818.66,2070060.9,2261688.58,2169991.84,2197658.47,2470077.47,2482360.54,2203286.08,2370135.32,2168791.07,2382037.03
EAST GIPPSLAND,10,332,2058541.01,1893722.4,1997591.05,1963174.55,1814030.93,1782566.56,1898317.06,2090557.27,1955820.67,1926500.23,2061797.89,2136430.78
BASS COAST,5,213,1643926.56,1254424.78,1241443.94,1410275.57,1196056.35,1249459.97,1342231.5,1407423.8,1424821.26,1461112.03,1401035.94,1598545.64
LATROBE,13,522,3445599.07,3148144.58,3435693.08,3272178.44,3682872.69,3567717.05,3980595.88,3849555.44,3655063.55,3904152.32,3688210.44,3819019.21
SURF COAST,3,74,331170.72,254837.21,270081.87,240326.14,189085.43,241475.37,247878.28,237393.77,200153.69,257092,260974.4,232168.18
SOUTH GIPPSLAND,4,105,573894.94,501898.93,560424.85,507549.22,522520.45,522387.94,520270.48,592873.59,501355.44,526393.25,524040.94,487430.78
MACEDON RANGES,3,103,761083.55,696116.82,813889.16,759970.07,748507.97,746669.31,817012.79,799798.42,842879.54,841719,766413.21,784801.48
HORSHAM,3,148,796090.78,692440.88,813624.08,752755.37,759765.8,751980.48,803593.85,865263.85,775596.65,871625.77,746922.43,865853.01
