LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2015,per Venue 2015,"per 1,000 Adults 2015",per Adult 2015,Workforce ,Unemployed ,Unemployment rate 
City of Whittlesea,M26,Metro," 101,646,865.58 ",988.60,38,-,5, 983.36 ,44,-,4," 145,693 "," 14,569 ", 5 ,697.68," 97,207 "," 7,654 ",7.87%
Shire of Nillumbik,M16,Metro," 7,514,346.44 ",1098.26,80,-,31," 1,099.03 ",78,-,26," 48,202 "," 24,101 ", 2 ,155.89," 37,527 "," 1,032 ",2.75%
RURAL CITY OF ARARAT,C43,Country," 5,260,422.33 ",950.51,11,9,-, 938.42 ,11,9,-," 8,879 "," 4,439 ", 10 ,592.49," 5,710 ", 341 ,5.97%
Shire of Northern Grampians,C14,Country," 4,777,457.52 ",937.59,6,4,-, 925.61 ,5,6,-," 9,303 "," 3,101 ", 8 ,513.57," 6,263 ", 344 ,5.49%
Borough of Queenscliffe,C1,Country," 1,439,556.71 ",1053.20,71,46,-," 1,047.25 ",69,47,-," 2,534 "," 2,534 ", 12 ,568.03," 1,248 ", 49 ,3.93%
City of Greater Geelong,C21,Country," 111,581,393.50 ",992.90,40,34,-, 980.37 ,39,42,-," 178,508 "," 6,866 ", 8 ,625.08," 107,808 "," 8,888 ",8.24%
SHIRE OF CORANGAMITE,C3,Country," 2,932,316.66 ",986.05,34,30,-, 970.41 ,34,21,-," 12,058 "," 6,029 ", 5 ,243.19," 8,117 ", 301 ,3.71%
Shire of Colac-Otway,C18,Country," 7,330,981.99 ",964.59,21,18,-, 946.48 ,19,18,-," 15,866 "," 3,173 ", 7 ,462.07," 10,570 ", 602 ,5.70%
SHIRE OF HEPBURN,C26,Country," 2,606,330.60 ",979.59,28,24,-, 967.11 ,28,27,-," 12,073 "," 6,036 ", 4 ,215.89," 7,321 ", 284 ,3.88%
Shire of Moorabool,C22,Country," 7,969,313.90 ",1008.46,52,41,-, 994.71 ,49,43,-," 23,922 "," 7,974 ", 5 ,333.14," 16,686 ", 944 ,5.66%
