LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2016,per Venue 2016,"per 1,000 Adults 2016",per Adult 2016,Workforce,Unemployed,Unemployment rate,
City of Whittlesea,M26,Metro," 103,399,181.70 ",988.60,38,-,5, 983.36 ,44,-,4," 152,365 "," 15,236 ", 5 ,678.63," 100,223 "," 6,115 ",6.10%,
Shire of Nillumbik,M16,Metro," 8,252,420.69 ",1098.26,80,-,31," 1,099.03 ",78,-,26," 48,205 "," 24,103 ", 2 ,171.19," 36,955 ", 763 ,2.06%,
RURAL CITY OF ARARAT,C43,Country," 4,937,199.99 ",950.51,11,9,-, 938.42 ,11,9,-," 8,737 "," 4,369 ", 10 ,565.06," 4,866 ", 342 ,7.03%,
Shire of Northern Grampians,C14,Country," 4,113,493.25 ",937.59,6,4,-, 925.61 ,5,6,-," 9,157 "," 4,578 ", 7 ,449.23," 5,330 ", 303 ,5.68%,
Borough of Queenscliffe,C1,Country," 1,350,945.46 ",1053.20,71,46,-," 1,047.25 ",69,47,-," 2,521 "," 2,521 ", 12 ,535.81," 1,297 ", 35 ,2.70%,
City of Greater Geelong,C21,Country," 111,854,042.58 ",992.90,40,34,-, 980.37 ,39,42,-," 182,373 "," 7,295 ", 7 ,613.32," 113,964 "," 6,741 ",5.92%,
SHIRE OF CORANGAMITE,C3,Country," 2,672,374.33 ",986.05,34,30,-, 970.41 ,34,21,-," 11,954 "," 5,977 ", 5 ,223.56," 8,502 ", 236 ,2.78%,
Shire of Colac-Otway,C18,Country," 7,490,513.61 ",964.59,21,18,-, 946.48 ,19,18,-," 15,784 "," 3,157 ", 7 ,474.58," 11,192 ", 411 ,3.67%,
SHIRE OF HEPBURN,C26,Country," 2,602,018.06 ",979.59,28,24,-, 967.11 ,28,27,-," 12,023 "," 6,012 ", 4 ,216.41," 7,291 ", 405 ,5.55%,
Shire of Moorabool,C22,Country," 8,011,356.32 ",1008.46,52,41,-, 994.71 ,49,43,-," 24,375 "," 8,125 ", 5 ,328.66," 17,107 "," 1,083 ",6.33%,
SHIRE OF CENTRAL GOLDFIELDS,C31,Country," 7,104,793.64 ",904.57,2,1,-, 887.90 ,1,1,-," 10,217 "," 5,109 ", 10 ,695.39," 5,001 ", 603 ,12.06%,
SHIRE OF MOUNT ALEXANDER,C47,Country," 3,116,230.92 ",983.35,32,28,-, 969.86 ,32,32,-," 14,887 "," 14,887 ", 2 ,209.32," 8,410 ", 582 ,6.92%,
SHIRE OF MANSFIELD,C49,Country," 1,437,997.01 ",1012.14,54,43,-, 991.67 ,47,37,-," 6,393 "," 6,393 ", 6 ,224.93," 4,610 ", 149 ,3.23%,
SHIRE OF MURRINDINDI,C41,Country," 1,381,431.56 ",997.18,45,38,-, 982.25 ,41,40,-," 11,105 "," 11,105 ", 2 ,124.40," 7,466 ", 315 ,4.22%,
Shire of Mitchell,C13,Country," 16,394,612.05 ",996.06,43,37,-, 979.03 ,38,39,-," 29,805 "," 5,961 ", 8 ,550.06," 21,486 "," 1,274 ",5.93%,
SHIRE OF TOWONG,C34,Country," 284,733.48 ",995.92,42,36,-, 982.47 ,42,31,-," 4,556 "," 4,556 ", 2 ,62.49," 3,162 ", 158 ,5.00%,
Shire of Alpine,C2,Country," 2,232,436.02 ",986.88,35,31,-, 969.92 ,33,26,-," 9,490 "," 4,745 ", 6 ,235.24," 6,575 ", 246 ,3.74%,
SHIRE OF MOIRA,C17,Country," 4,244,200.19 ",952.38,15,12,-, 936.27 ,10,12,-," 22,536 "," 11,268 ", 4 ,188.33," 14,463 ", 642 ,4.44%,
SHIRE OF STRATHBOGIE,C42,Country," 1,294,670.47 ",970.20,23,20,-, 956.36 ,23,14,-," 8,074 "," 8,074 ", 4 ,160.35," 5,232 ", 235 ,4.49%,
