,LGA_NAME16,RATE
0,ALPINE,2513.600000000001
1,ARARAT,8802.099999999995
2,BALLARAT,8892.799999999996
3,BANYULE,5810.0
4,BASS COAST,6166.5999999999985
5,BAW BAW,5680.0000000000055
6,BAYSIDE,3621.800000000001
7,BENALLA,7377.500000000001
8,BOROONDARA,3499.8999999999987
9,BRIMBANK,6554.999999999999
10,BULOKE,2665.8000000000006
11,CAMPASPE,7106.199999999998
12,CARDINIA,4705.499999999999
13,CASEY,5253.400000000002
14,CENTRAL GOLDFIELDS,6941.8
15,CORANGAMITE,5257.199999999998
16,DAREBIN,7654.200000000001
17,EAST GIPPSLAND,6538.699999999998
18,FRANKSTON,8264.900000000005
19,GANNAWARRA,5171.899999999997
20,GLEN EIRA,3696.4999999999995
21,GLENELG,6983.300000000002
22,GOLDEN PLAINS,2412.8999999999996
23,GREATER BENDIGO,6777.7
24,GREATER DANDENONG,8969.4
25,GREATER GEELONG,7222.099999999999
26,GREATER SHEPPARTON,9243.500000000005
27,HEPBURN,4374.799999999998
28,HINDMARSH,5153.7999999999965
29,HOBSONS BAY,5234.600000000001
30,HORSHAM,8171.600000000001
31,HUME,7522.999999999998
32,INDIGO,2452.5000000000005
33,KINGSTON,5073.700000000001
34,KNOX,5646.5
35,LATROBE,12946.200000000006
36,LODDON,4203.600000000001
37,MACEDON RANGES,4035.5
38,MANNINGHAM,3132.0000000000014
39,MANSFIELD,6303.2999999999965
40,MARIBYRNONG,7446.900000000002
41,MAROONDAH,5732.999999999996
42,MELBOURNE,18333.7
43,MELTON,5826.199999999996
44,MILDURA,9279.399999999998
45,MITCHELL,7708.899999999996
46,MOIRA,5253.3
47,MONASH,4406.599999999999
48,MOONEE VALLEY,5571.300000000002
49,MOORABOOL,5730.7
50,MORELAND,6183.300000000001
51,MORNINGTON PENINSULA,5575.500000000005
52,MOUNT ALEXANDER,4520.199999999999
53,MOYNE,3156.1000000000004
54,MURRINDINDI,3927.3999999999983
55,NILLUMBIK,3207.5
56,NORTHERN GRAMPIANS,7804.900000000003
57,PORT PHILLIP,9007.299999999994
58,PYRENEES,5186.399999999999
59,SOUTH GIPPSLAND,3914.0999999999985
60,SOUTHERN GRAMPIANS,6403.499999999998
61,STONNINGTON,7165.999999999998
62,STRATHBOGIE,4487.7
63,SURF COAST,3467.400000000001
64,SWAN HILL,8634.799999999996
65,TOWONG,2985.3000000000015
66,WANGARATTA,6889.499999999999
67,WARRNAMBOOL,7875.699999999998
68,WELLINGTON,7038.5
69,WEST WIMMERA,3669.1000000000004
70,WHITEHORSE,3908.7999999999993
71,WHITTLESEA,5529.099999999995
72,WODONGA,6030.499999999997
73,WYNDHAM,4702.499999999999
74,YARRA,11283.500000000004
75,YARRA RANGES,3844.0999999999995
76,YARRIAMBIACK,5237.600000000003
